name,proportion,energy_source
Honduras,0.7,Oil
Afghanistan,0.47,Oil
Côte d'Ivoire,0.5,Oil
Luxembourg,0.68,Oil
Iceland,0.2,Oil
Mongolia,0.26,Oil
Tajikistan,0.16,Oil
Gibraltar,1,Oil
Costa Rica,0.52,Oil
Latvia,0.49,Oil
Uruguay,0.45,Oil
Kyrgyzstan,0.29,Oil
Georgia,0.25,Oil
Puerto Rico,0.74,Oil
Bosnia and Herzegovina,0.28,Oil
Ghana,0.64,Oil
Tanzania,0.49,Oil
Kenya,0.73,Oil
Guatemala,0.59,Oil
Slovenia,0.38,Oil
Mozambique,0.3,Oil
Croatia,0.43,Oil
Dominican Republic,0.72,Oil
Ethiopia,0.57,Oil
Bolivia,0.59,Oil
Lebanon,0.98,Oil
North Korea,0.12,Oil
Sudan,0.77,Oil
Angola,0.72,Oil
Syria,0.63,Oil
Sri Lanka,0.73,Oil
Panama,0.82,Oil
Paraguay,0.23,Oil
Jordan,0.6,Oil
Tunisia,0.51,Oil
Myanmar,0.45,Oil
Cuba,0.88,Oil
Laos,0.09,Oil
Ireland,0.5,Oil
Libya,0.71,Oil
Azerbaijan,0.33,Oil
Ecuador,0.71,Oil
Morocco,0.7,Oil
Bulgaria,0.25,Oil
Slovakia,0.24,Oil
Denmark,0.44,Oil
New Zealand,0.38,Oil
Trinidad and Tobago,0.13,Oil
Serbia,0.19,Oil
Bahrain,0.18,Oil
Israel,0.46,Oil
Hungary,0.33,Oil
Belarus,0.29,Oil
Hong Kong,0.67,Oil
Greece,0.54,Oil
Oman,0.3,Oil
Portugal,0.47,Oil
Finland,0.36,Oil
Peru,0.45,Oil
Switzerland,0.39,Oil
Nigeria,0.55,Oil
Austria,0.37,Oil
Chile,0.48,Oil
Romania,0.3,Oil
Bangladesh,0.19,Oil
Uzbekistan,0.06,Oil
Colombia,0.41,Oil
Czech Republic,0.25,Oil
Kuwait,0.49,Oil
Turkmenistan,0.17,Oil
Venezuela,0.39,Oil
Sweden,0.3,Oil
Qatar,0.27,Oil
Iraq,0.92,Oil
Philippines,0.47,Oil
Algeria,0.35,Oil
Belgium,0.51,Oil
Norway,0.23,Oil
Pakistan,0.37,Oil
Vietnam,0.28,Oil
Italy,0.37,Oil
Indonesia,0.45,Oil
United Kingdom,0.39,Oil
Mexico,0.5,Oil
Saudi Arabia,0.63,Oil
Brazil,0.48,Oil
France,0.34,Oil
South Korea,0.44,Oil
Iran,0.31,Oil
Germany,0.36,Oil
Canada,0.33,Oil
Russia,0.22,Oil
United States,0.38,Oil
Japan,0.4,Oil
India,0.29,Oil
Antigua and Barbuda,0.97,Oil
Singapore,0.13,Gas
Poland,0.16,Gas
Argentina,0.47,Gas
Netherlands,0.35,Gas
Kazakhstan,0.16,Gas
Malaysia,0.32,Gas
United Arab Emirates,0.59,Gas
Ukraine,0.3,Gas
Egypt,0.53,Gas
Thailand,0.33,Gas
China,0.06,Gas
Turkey,0.3,Gas
Taiwan,0.19,Gas
Australia,0.27,Gas
Falkland Islands,0,Gas
Spain,0.21,Gas
Kiribati,0,Gas
Tonga,0,Gas
South Africa,0.03,Gas
Saint Pierre & Miquelon,0,Gas
St. Vincent & Grenadines,0,Gas
Sao Tome & Principe,0,Gas
Cook Islands,0,Gas
British Virgin Islands,0,Gas
Western Sahara,0,Gas
Comoros,0,Gas
Saint Kitts & Nevis,0,Gas
Turks and Caicos,0,Gas
Vanuatu,0,Gas
Dominica,0,Gas
Chad,0,Gas
Grenada,0,Gas
Burundi,0,Gas
Guinea-Bissau,0,Gas
Solomon Islands,0,Gas
Central African Republic,0,Gas
Saint Lucia,0,Gas
Gambia,0,Gas
Eritrea,0,Gas
Samoa,0,Gas
Bermuda,0,Gas
Cayman Islands,0,Gas
Timor-Leste,0,Gas
Djibouti,0,Gas
Somalia,0,Gas
Faeroe Islands,0,Gas
French Polynesia,0,Gas
Lesotho,0,Gas
Belize,0,Gas
Cabo Verde,0,Gas
Seychelles,0,Gas
Sierra Leone,0,Gas
Greenland,0,Gas
French Guiana,0,Gas
Rwanda,0,Gas
Liberia,0,Gas
Eswatini,0,Gas
Maldives,0,Gas
Aruba,0,Gas
Guadeloupe,0,Gas
Malawi,0,Gas
Barbados,0.03,Gas
Guyana,0,Gas
Niger,0,Gas
Guam,0,Gas
Martinique,0,Gas
Fiji,0,Gas
U.S. Virgin Islands,0,Gas
Suriname,0,Gas
Togo,0,Gas
Montenegro,0,Gas
Mauritania,0,Gas
Bahamas,0,Gas
Guinea,0,Gas
Réunion,0,Gas
Haiti,0,Gas
Madagascar,0,Gas
Mali,0,Gas
Burkina Faso,0,Gas
State of Palestine,0,Gas
Gabon,0.22,Gas
Macao,0.14,Gas
Bhutan,0,Gas
Estonia,0.21,Gas
Mauritius,0,Gas
Namibia,0,Gas
New Caledonia,0,Gas
Equatorial Guinea,0.74,Gas
Uganda,0,Gas
Benin,0,Gas
Macedonia,0.07,Gas
Congo,0.54,Gas
Nicaragua,0,Gas
Botswana,0,Gas
Papua New Guinea,0.04,Gas
Cyprus,0,Gas
Moldova,0.63,Gas
