name,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,co2_emiss_prev_year,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent & Grenadines,0,362414,1.51%,109459,3.31,0.00%,3.260019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome & Principe,0.09,56185,2.60%,203227,0.28,0.00%,0.27272,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0.52,37354,7.19%,17524,2.13,0.00%,1.976853,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,0.06,99762,1.51%,29355,3.4,0.00%,3.34866,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,0,207592,2.61%,538749,0.39,0.00%,0.379821,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0,108422,2.58%,795592,0.14,0.00%,0.136388,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,0.06,203036,1.51%,51625,3.93,0.00%,3.870657,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos,0.07,65451,1.52%,36559,1.79,0.00%,1.762792,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,0.19,137706,7.18%,278330,0.49,0.00%,0.454818,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,0.15,185767,1.51%,71307,2.61,0.00%,2.570589,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0.1,1670941,2.14%,14561660,0.11,0.00%,0.107646,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0.04,554848,1.51%,110261,5.03,0.00%,4.954047,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0.43,1093618,2.81%,10487995,0.1,0.00%,0.09719,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,0.05,318706,2.59%,1782438,0.18,0.00%,0.175338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,0.09,341748,7.18%,619438,0.55,0.00%,0.51051,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0.24,543229,2.57%,4537686,0.12,0.00%,0.116916,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,0.07,608182,1.51%,180024,3.38,0.00%,3.328962,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,0,254127,2.59%,2149136,0.12,0.00%,0.116892,,,,,,,,,,,,,,,,,,,,,,,,,,,
