name,energy,energy_source,,,,,
Antigua and Barbuda,10605278000,Oil,,,,,
Singapore,4.72E+11,Gas,,,,,
Poland,6.94E+11,Gas,,,,,
Argentina,1.82E+12,Gas,,,,,
Netherlands,1.38E+12,Gas,,,,,
Kazakhstan,5.72E+11,Gas,,,,,
Malaysia,1.12E+12,Gas,,,,,
United Arab Emirates,2.75E+12,Gas,,,,,
Ukraine,1.09E+12,Gas,,,,,
Egypt,2.13E+12,Gas,,,,,
Thailand,1.82E+12,Gas,,,,,
China,8.32E+12,Gas,,,,,
Turkey,1.93E+12,Gas,,,,,
Taiwan,8.88E+11,Gas,,,,,
Australia,1.65E+12,Gas,,,,,
Falkland Islands,0,Gas,,,,,
Spain,1.20E+12,Gas,,,,,
Kiribati,0,Gas,,,,,
Tonga,0,Gas,,,,,
South Africa,1.70E+11,Gas,,,,,
Saint Pierre & Miquelon,0,Gas,,,,,
St. Vincent & Grenadines,0,Gas,,,,,
Sao Tome & Principe,0,Gas,,,,,
Cook Islands,0,Gas,,,,,
British Virgin Islands,0,Gas,,,,,
Western Sahara,0,Gas,,,,,
Comoros,0,Gas,,,,,
Saint Kitts & Nevis,0,Gas,,,,,
Turks and Caicos,0,Gas,,,,,
Vanuatu,0,Gas,,,,,
Dominica,0,Gas,,,,,
Chad,0,Gas,,,,,
Grenada,0,Gas,,,,,
Burundi,0,Gas,,,,,
Guinea-Bissau,0,Gas,,,,,
Solomon Islands,0,Gas,,,,,
Central African Republic,0,Gas,,,,,
Saint Lucia,0,Gas,,,,,
Gambia,0,Gas,,,,,
Eritrea,0,Gas,,,,,
Samoa,0,Gas,,,,,
Bermuda,0,Gas,,,,,
Cayman Islands,0,Gas,,,,,
Timor-Leste,0,Gas,,,,,
Djibouti,0,Gas,,,,,
Somalia,0,Gas,,,,,
Faeroe Islands,0,Gas,,,,,
French Polynesia,0,Gas,,,,,
Lesotho,0,Gas,,,,,
Belize,0,Gas,,,,,
Cabo Verde,0,Gas,,,,,
Seychelles,0,Gas,,,,,
Sierra Leone,0,Gas,,,,,
Greenland,0,Gas,,,,,
French Guiana,0,Gas,,,,,
Rwanda,0,Gas,,,,,
Liberia,0,Gas,,,,,
Eswatini,0,Gas,,,,,
Maldives,0,Gas,,,,,
Aruba,0,Gas,,,,,
Guadeloupe,0,Gas,,,,,
Malawi,0,Gas,,,,,
Barbados,742909680,Gas,,,,,
Guyana,0,Gas,,,,,
Niger,0,Gas,,,,,
Guam,0,Gas,,,,,
Martinique,0,Gas,,,,,
Fiji,0,Gas,,,,,
U.S. Virgin Islands,0,Gas,,,,,
Suriname,0,Gas,,,,,
Togo,0,Gas,,,,,
Montenegro,0,Gas,,,,,
Mauritania,0,Gas,,,,,
Bahamas,0,Gas,,,,,
Guinea,0,Gas,,,,,
Réunion,0,Gas,,,,,
Haiti,0,Gas,,,,,
Madagascar,0,Gas,,,,,
Mali,0,Gas,,,,,
Burkina Faso,0,Gas,,,,,
State of Palestine,0,Gas,,,,,
Gabon,15043953100,Gas,,,,,
Macao,6815553360,Gas,,,,,
Bhutan,0,Gas,,,,,
Estonia,18434968650,Gas,,,,,
Mauritius,0,Gas,,,,,
Namibia,0,Gas,,,,,
New Caledonia,0,Gas,,,,,
Equatorial Guinea,44260251000,Gas,,,,,
Uganda,0,Gas,,,,,
Benin,0,Gas,,,,,
Macedonia,7000420000,Gas,,,,,
Congo,51635838420,Gas,,,,,
Nicaragua,0,Gas,,,,,
Botswana,0,Gas,,,,,
Papua New Guinea,3740038560,Gas,,,,,
Cyprus,0,Gas,,,,,
Moldova,80651340000,Gas,,,,,
Albania,2236860000,Gas,,,,,
Jamaica,7687860000,Gas,,,,,
Malta,10282560000,Gas,,,,,
El Salvador,0,Gas,,,,,
Dem. Rep. Congo,0,Gas,,,,,
Senegal,1307070000,Gas,,,,,
Yemen,19389580000,Gas,,,,,
Zimbabwe,0,Gas,,,,,
Nepal,0,Gas,,,,,
Lithuania,90504000000,Gas,,,,,
Cambodia,0,Gas,,,,,
Cameroon,33994230000,Gas,,,,,
Armenia,87636830000,Gas,,,,,
Zambia,0,Gas,,,,,
Brunei ,1.45E+11,Gas,,,,,
Honduras,0,Gas,,,,,
Afghanistan,5787760000,Gas,,,,,
Côte d'Ivoire,82236040000,Gas,,,,,
Luxembourg,31185820000,Gas,,,,,
Iceland,0,Gas,,,,,
Mongolia,0,Gas,,,,,
Tajikistan,0,Gas,,,,,
Gibraltar,0,Gas,,,,,
Costa Rica,0,Gas,,,,,
Latvia,45003840000,Gas,,,,,
Uruguay,2194060000,Gas,,,,,
Kyrgyzstan,7259850000,Gas,,,,,
Georgia,83732140000,Gas,,,,,
Puerto Rico,47609640000,Gas,,,,,
Bosnia and Herzegovina,7552620000,Gas,,,,,
Ghana,46533080000,Gas,,,,,
Tanzania,1.15E+11,Gas,,,,,
Kenya,0,Gas,,,,,
Guatemala,0,Gas,,,,,
Slovenia,31230430000,Gas,,,,,
Mozambique,71989750000,Gas,,,,,
Croatia,94684950000,Gas,,,,,
Dominican Republic,44260190000,Gas,,,,,
Ethiopia,0,Gas,,,,,
Bolivia,1.17E+11,Gas,,,,,
Lebanon,0,Gas,,,,,
North Korea,0,Gas,,,,,
Sudan,0,Gas,,,,,
Angola,29024240000,Gas,,,,,
Syria,1.38E+11,Gas,,,,,
Sri Lanka,0,Gas,,,,,
Panama,0,Gas,,,,,
Paraguay,0,Gas,,,,,
Jordan,1.55E+11,Gas,,,,,
Tunisia,1.96E+11,Gas,,,,,
Myanmar,1.66E+11,Gas,,,,,
Cuba,40149300000,Gas,,,,,
Laos,0,Gas,,,,,
Ireland,1.98E+11,Gas,,,,,
Libya,1.66E+11,Gas,,,,,
Azerbaijan,3.80E+11,Gas,,,,,
Ecuador,14293680000,Gas,,,,,
Morocco,49166040000,Gas,,,,,
Bulgaria,1.24E+11,Gas,,,,,
Slovakia,1.74E+11,Gas,,,,,
Denmark,1.25E+11,Gas,,,,,
New Zealand,1.90E+11,Gas,,,,,
Trinidad and Tobago,7.86E+11,Gas,,,,,
Serbia,96327150000,Gas,,,,,
Bahrain,5.90E+11,Gas,,,,,
Israel,3.59E+11,Gas,,,,,
Hungary,3.75E+11,Gas,,,,,
Belarus,6.44E+11,Gas,,,,,
Hong Kong,1.19E+11,Gas,,,,,
Greece,1.86E+11,Gas,,,,,
Oman,7.87E+11,Gas,,,,,
Portugal,2.37E+11,Gas,,,,,
Finland,85949500000,Gas,,,,,
Peru,3.13E+11,Gas,,,,,
Switzerland,1.29E+11,Gas,,,,,
Nigeria,6.32E+11,Gas,,,,,
Austria,3.45E+11,Gas,,,,,
Chile,1.94E+11,Gas,,,,,
Romania,4.09E+11,Gas,,,,,
Bangladesh,1.09E+12,Gas,,,,,
Uzbekistan,1.55E+12,Gas,,,,,
Colombia,3.32E+11,Gas,,,,,
Czech Republic,3.15E+11,Gas,,,,,
Kuwait,7.96E+11,Gas,,,,,
Turkmenistan,1.45E+12,Gas,,,,,
Venezuela,9.22E+11,Gas,,,,,
Sweden,22187100000,Gas,,,,,
Qatar,1.55E+12,Gas,,,,,
Iraq,93294500000,Gas,,,,,
Philippines,1.10E+11,Gas,,,,,
Algeria,1.56E+12,Gas,,,,,
Belgium,6.17E+11,Gas,,,,,
Norway,1.52E+11,Gas,,,,,
Pakistan,1.37E+12,Gas,,,,,
Vietnam,2.92E+11,Gas,,,,,
Italy,2.71E+12,Gas,,,,,
Indonesia,1.65E+12,Gas,,,,,
United Kingdom,2.95E+12,Gas,,,,,
Mexico,2.83E+12,Gas,,,,,
Saudi Arabia,4.07E+12,Gas,,,,,
